id,nombre_archivo,nombre_espanol,nivel,areas_cuerpo,tipo_ejercicio,posicion,requiere_equipo,equipo_necesario,evitar_si_limitacion,objetivos,descripcion_corta,clasificado_por,verificado_manualmente,created_at
22,180_Jump_Squats.mov,Sentadillas con Salto de 180 Grados,avanzado,"piernas, gluteos, core, espalda","fuerza, cardio, equilibrio, estabilidad",de_pie,f,,"rodillas, espalda, cadera, cuello","fuerza, equilibrio, confianza",Ejercicio pliométrico avanzado que combina sentadilla profunda con salto explosivo y giro de 180 grados en el aire.,ia,f,2026-01-05 21:07:11.082169
23,180_Jumps.mov,Saltos de 180 Grados,avanzado,"piernas, core, gluteos","cardio, fuerza, equilibrio, estabilidad",de_pie,f,,"rodillas, cadera, espalda, cuello","fuerza, equilibrio, confianza","Salto explosivo con rotación de 180 grados en el aire, aterrizando en dirección opuesta.",ia,f,2026-01-05 21:07:25.10759
14,Alligator_Push-ups.mov,Flexiones de cocodrilo,avanzado,"brazos, hombros, pecho, core, espalda","fuerza, estabilidad",suelo,t,esterilla,"espalda, hombros, munecas, cuello","fuerza, estabilidad, postura","Variante avanzada de flexiones con movimiento alternado de brazos que imita el desplazamiento de un cocodrilo, requiriendo gran fuerza del tren superior.",ia,f,2026-01-04 21:25:22.798264
15,Archer_Push-ups.mov,Flexiones Arquero,avanzado,"brazos, hombros, pecho, core","fuerza, estabilidad",suelo,f,,"hombros, munecas, espalda, cuello","fuerza, estabilidad","Flexión avanzada donde se desplaza el peso lateralmente hacia un brazo mientras el otro se extiende, similar al movimiento de un arquero.",ia,f,2026-01-04 21:25:22.798264
16,Arm_Circles_Backward.mov,Círculos de Brazos Hacia Atrás,iniciacion,"brazos, hombros, espalda","movilidad, estiramiento",de_pie,f,,hombros,"movilidad, flexibilidad, postura",Movimiento circular de los brazos hacia atrás para mejorar la movilidad del hombro y la parte superior de la espalda.,ia,f,2026-01-04 21:25:22.798264
17,Arm_Circles_Forward.mov,Círculos de Brazos hacia Adelante,iniciacion,"brazos, hombros, espalda","movilidad, estiramiento",de_pie,f,,hombros,"movilidad, flexibilidad, postura",Movimiento circular de los brazos hacia adelante para mejorar la movilidad del hombro y activar la parte superior del cuerpo.,ia,f,2026-01-04 21:25:22.798264
18,Assisted_Triceps_Extension.mov,Extensión de Tríceps Asistida,iniciacion,brazos,"fuerza, movilidad",sentado,t,silla,"hombros, codos","fuerza, movilidad, confianza",Ejercicio asistido para fortalecer los tríceps (parte posterior del brazo) realizado desde posición sentada con apoyo.,ia,f,2026-01-04 21:25:22.798264
19,Backward_Lunges.mov,Zancadas hacia atrás,intermedio,"piernas, gluteos, core","fuerza, equilibrio, estabilidad",de_pie,f,,"rodillas, cadera, espalda","fuerza, equilibrio, estabilidad, movilidad","Ejercicio de fuerza que consiste en dar un paso largo hacia atrás, flexionando ambas rodillas hasta formar ángulos de 90 grados.",ia,f,2026-01-04 21:25:22.798264
20,Beetle.mov,El Escarabajo,intermedio,"core, espalda, hombros, cadera","fuerza, estabilidad, movilidad",tumbado,t,esterilla,"espalda, cuello, hombros, cadera","fuerza, estabilidad, movilidad, postura",Ejercicio tumbado boca arriba con movimientos alternos de brazos y piernas que fortalece el core y mejora la coordinación.,ia,f,2026-01-04 21:25:22.798264
21,Bent_Knee_Leg_Raises.mov,Elevaciones de Piernas con Rodillas Flexionadas,iniciacion,"core, piernas, gluteos","fuerza, estabilidad",tumbado,t,esterilla,"espalda, cadera","fuerza, estabilidad, postura",Ejercicio tumbado boca arriba que fortalece el abdomen bajo elevando las piernas con las rodillas dobladas.,ia,f,2026-01-04 21:25:22.798264
24,Bicycle_Crunches.mov,Abdominales en bicicleta,avanzado,"core, piernas","fuerza, cardio, estabilidad",suelo,t,esterilla,"espalda, cuello, cadera","fuerza, flexibilidad, postura",Ejercicio abdominal dinámico que combina rotación del tronco con movimiento alternado de piernas imitando el pedaleo.,ia,f,2026-01-05 21:07:39.442835
25,Blastoff_Plank.mov,Plancha con Despegue,avanzado,"core, brazos, hombros, pecho, espalda","fuerza, estabilidad, cardio",cuadrupedia,t,esterilla,"espalda, hombros, munecas, cuello","fuerza, estabilidad, postura",Ejercicio avanzado de plancha con impulso dinámico que combina fuerza del core con movimiento explosivo de piernas.,ia,f,2026-01-05 21:07:52.957095
26,Bridge.mov,Puente de glúteos,intermedio,"gluteos, core, piernas, espalda","fuerza, estabilidad",tumbado,t,esterilla,"espalda, cuello, cadera","fuerza, postura, estabilidad",Ejercicio tumbado boca arriba que consiste en elevar la cadera del suelo creando una línea recta desde rodillas hasta hombros.,ia,f,2026-01-05 21:08:06.689241
27,Burpee_Tuck_Jumps.mov,Burpees con Salto Agrupado,avanzado,"piernas, core, brazos, espalda, hombros, gluteos, pecho","cardio, fuerza, estabilidad",de_pie,f,,"espalda, rodillas, hombros, munecas, cuello, cadera","fuerza, movilidad, equilibrio",Ejercicio de alta intensidad que combina una flexión en el suelo con un salto explosivo llevando las rodillas al pecho.,ia,f,2026-01-05 21:08:20.814551
28,Burpees.mov,Burpees,avanzado,"piernas, core, brazos, espalda, hombros, gluteos, pecho","fuerza, cardio, estabilidad",de_pie,f,,"espalda, rodillas, hombros, munecas, cuello, cadera","fuerza, confianza","Ejercicio de cuerpo completo de alta intensidad que combina sentadilla, plancha, flexión y salto en un movimiento continuo.",ia,f,2026-01-05 21:08:34.479659
29,Butt_Kicker_Jump_Squats.mov,Sentadillas con Salto y Patada de Glúteos,avanzado,"piernas, gluteos, core","cardio, fuerza, equilibrio",de_pie,f,,"rodillas, espalda, cadera","fuerza, equilibrio, confianza","Ejercicio de alta intensidad que combina sentadillas con salto y patadas de talón hacia los glúteos, requiriendo fuerza explosiva y coordinación avanzada.",ia,f,2026-01-05 21:08:47.90871
30,Cat_Cow.mov,Gato-Vaca,iniciacion,"espalda, core, hombros, cuello","movilidad, estiramiento, estabilidad",cuadrupedia,t,esterilla,"munecas, rodillas, espalda","movilidad, flexibilidad, postura",Ejercicio de movilidad espinal que alterna entre arquear y redondear la espalda en posición de cuatro apoyos.,ia,f,2026-01-05 21:09:03.489484
31,Child's_Pose.mov,Postura del Niño,iniciacion,"espalda, hombros, cadera","estiramiento, movilidad",suelo,t,esterilla,"rodillas, cadera, espalda","flexibilidad, movilidad, postura","Postura de yoga de descanso que estira suavemente la espalda, hombros y caderas mientras se descansa arrodillado con el torso hacia adelante.",ia,f,2026-01-05 21:09:19.38514
32,Clap_Jacks.mov,Saltos con Palmadas,avanzado,"piernas, brazos, hombros, gluteos, core","cardio, fuerza, equilibrio",de_pie,f,,"rodillas, cadera, hombros, espalda","fuerza, equilibrio, confianza",Ejercicio cardiovascular de alto impacto que combina saltos laterales de piernas con palmadas de brazos sobre la cabeza.,ia,f,2026-01-05 21:09:33.220641
33,Cobblers_Stretch.mov,Estiramiento del Zapatero,iniciacion,"cadera, piernas, gluteos","estiramiento, movilidad",sentado,f,,"cadera, rodillas","flexibilidad, movilidad","Estiramiento suave de caderas sentado con plantas de los pies juntas, mejorando la flexibilidad de aductores e ingle.",ia,f,2026-01-05 21:09:45.996216
34,Commander_Push-ups.mov,Flexiones de comandante,avanzado,"brazos, hombros, pecho, core","fuerza, estabilidad",suelo,f,,"hombros, munecas, espalda, cuello","fuerza, estabilidad, confianza",Variante avanzada de flexiones que combina movimiento del tren superior con elevación alternada de brazos en posición de plancha.,ia,f,2026-01-05 21:10:00.005142
35,Count_Burpee_and_Tuck_Jump.mov,Burpee y Salto con Rodillas al Pecho,avanzado,"piernas, core, brazos, espalda, hombros, gluteos, pecho","cardio, fuerza, equilibrio",de_pie,f,,"espalda, rodillas, hombros, munecas, cuello, cadera","fuerza, equilibrio, confianza","Ejercicio de alta intensidad que combina burpees con saltos explosivos llevando las rodillas al pecho, diseñado para condición física avanzada.",ia,f,2026-01-05 21:10:14.251572
36,Count_Burpees.mov,Burpees,avanzado,"piernas, core, brazos, pecho, hombros, gluteos","cardio, fuerza, estabilidad",de_pie,f,,"espalda, rodillas, hombros, munecas, cuello, cadera","fuerza, movilidad, equilibrio","Ejercicio de alto impacto que combina sentadilla, plancha y salto en un movimiento continuo y explosivo.",ia,f,2026-01-05 21:10:27.905921
37,Count_Modified_Burpees.mov,Burpees Modificados con Conteo,intermedio,"piernas, core, brazos, pecho, hombros, gluteos","cardio, fuerza, estabilidad",de_pie,t,silla,"rodillas, espalda, hombros, munecas, cadera","fuerza, cardio, confianza, movilidad","Versión adaptada del burpee tradicional usando silla como apoyo, combinando sentadilla, inclinación y elevación con conteo para mantener el ritmo.",ia,f,2026-01-05 21:10:44.008469
38,Crab_Bridge.mov,Puente de Cangrejo,avanzado,"brazos, hombros, core, gluteos, piernas, espalda","fuerza, estabilidad, movilidad",suelo,t,esterilla,"munecas, hombros, espalda, cuello, cadera","fuerza, estabilidad, movilidad, postura","Ejercicio de puente invertido con soporte en manos y pies, elevando las caderas hacia el techo mientras el cuerpo mira hacia arriba.",ia,f,2026-01-05 21:10:58.715277
39,Cross_Jacks.mov,Saltos de tijera cruzados,avanzado,"piernas, brazos, hombros, core, gluteos","cardio, fuerza, equilibrio",de_pie,f,,"rodillas, cadera, hombros, espalda","fuerza, equilibrio, confianza",Variación de saltos de tijera donde brazos y piernas se cruzan por delante del cuerpo en lugar de abrirse lateralmente.,ia,f,2026-01-05 21:11:12.967185
40,Crossing_Punches.mov,Puñetazos Cruzados,intermedio,"brazos, hombros, pecho, core","fuerza, cardio, movilidad",de_pie,f,,"hombros, espalda","fuerza, movilidad, confianza, postura","Movimiento dinámico de brazos cruzando el cuerpo alternadamente como puñetazos, fortaleciendo tren superior y activando el core.",ia,f,2026-01-05 21:11:27.698584
41,Crunches.mov,Abdominales (Encogimientos),intermedio,core,fuerza,tumbado,t,esterilla,"espalda, cuello","fuerza, postura",Ejercicio abdominal clásico tumbado boca arriba que fortalece el core mediante elevación del tronco superior.,ia,f,2026-01-05 21:11:39.926772
42,Cursty_Lunges_Left.mov,Zancadas con reverencia izquierda,avanzado,"piernas, gluteos, core","fuerza, equilibrio, estabilidad",de_pie,f,,"rodillas, cadera, espalda","fuerza, equilibrio, movilidad, confianza","Zancada lateral cruzada donde la pierna izquierda se desplaza hacia atrás en diagonal detrás de la pierna derecha, simulando una reverencia.",ia,f,2026-01-05 21:11:54.467014
43,Cursty_Lunges_Right.mov,Zancadas con reverencia (pierna derecha),avanzado,"piernas, gluteos, core","fuerza, equilibrio, estabilidad",de_pie,f,,"rodillas, cadera, espalda","fuerza, equilibrio, estabilidad","Zancada diagonal cruzando la pierna derecha por detrás hacia el lado contrario, simulando una reverencia, que trabaja intensamente glúteos y equilibrio.",ia,f,2026-01-05 21:12:10.909514
44,Dolphin_Push-ups.mov,Flexiones delfín,avanzado,"hombros, brazos, core, espalda, pecho","fuerza, estabilidad",suelo,t,esterilla,"hombros, munecas, espalda, cuello","fuerza, estabilidad, postura",Flexión avanzada con antebrazos apoyados que fortalece hombros y core mediante movimiento de balanceo hacia adelante y atrás.,ia,f,2026-01-05 21:12:25.713312
45,Donkey_Kicks_Left.mov,Patada de burro - Pierna izquierda,intermedio,"gluteos, piernas, core, espalda","fuerza, estabilidad",cuadrupedia,f,esterilla,"munecas, rodillas, espalda, hombros","fuerza, equilibrio, estabilidad, movilidad","Ejercicio en posición de cuatro apoyos donde se eleva la pierna izquierda hacia atrás manteniendo la rodilla doblada, fortaleciendo glúteos y mejorando estabilidad del core.",ia,f,2026-01-05 21:12:41.638864
46,Donkey_Kicks_Right.mov,Patadas de burro pierna derecha,intermedio,"gluteos, piernas, core, espalda","fuerza, estabilidad",cuadrupedia,f,esterilla,"rodillas, munecas, espalda, cadera","fuerza, equilibrio, estabilidad, postura","Ejercicio en cuadrupedia donde se extiende la pierna derecha hacia atrás elevando el talón hacia el techo, fortaleciendo glúteos y piernas.",ia,f,2026-01-05 21:12:56.269295
47,Double_Pulse_Squat.mov,Sentadilla con Doble Pulso,avanzado,"piernas, gluteos, core","fuerza, estabilidad",de_pie,f,,"rodillas, cadera, espalda","fuerza, equilibrio, confianza","Sentadilla con dos pulsos pequeños en la posición baja antes de subir, intensificando el trabajo muscular en piernas y glúteos.",ia,f,2026-01-05 21:13:10.697479
48,Double_Snap_Push-ups.mov,Flexiones con Doble Palmada,avanzado,"pecho, brazos, hombros, core","fuerza, cardio",suelo,f,,"espalda, hombros, munecas, cuello","fuerza, confianza",Flexiones explosivas donde se da una palmada doble en el aire antes de volver a apoyar las manos en el suelo.,ia,f,2026-01-05 21:13:24.735816
49,Drop_Push-ups.mov,Flexiones con Caída,avanzado,"pecho, brazos, hombros, core","fuerza, estabilidad",suelo,f,,"hombros, munecas, espalda, cuello","fuerza, estabilidad",Flexiones pliométricas avanzadas que implican dejar caer el cuerpo desde una superficie elevada y amortiguar con los brazos.,ia,f,2026-01-05 21:13:38.147179
50,Elbow_Plank_Legraises.mov,Plancha sobre codos con elevación de piernas,avanzado,"core, brazos, hombros, gluteos, piernas, espalda","fuerza, estabilidad",suelo,t,esterilla,"espalda, hombros, munecas, cuello, cadera","fuerza, estabilidad, postura",Ejercicio avanzado de plancha sobre antebrazos con elevaciones alternadas de piernas que desafía el core y la estabilidad corporal total.,ia,f,2026-01-05 21:13:55.047896
51,F_Superman.mov,Superman,avanzado,"espalda, gluteos, core, hombros","fuerza, estabilidad",tumbado,f,esterilla,"espalda, cuello, hombros","fuerza, postura, estabilidad","Ejercicio tumbado boca abajo elevando brazos y piernas simultáneamente, fortaleciendo la cadena posterior del cuerpo.",ia,f,2026-01-05 21:14:08.768199
52,Fire_Hydrant_Left.mov,Hidratante de Fuego Izquierdo,intermedio,"gluteos, cadera, core, piernas","fuerza, estabilidad, movilidad",cuadrupedia,f,esterilla,"rodillas, munecas, cadera, espalda","fuerza, estabilidad, movilidad, equilibrio",Ejercicio en cuadrupedia que consiste en elevar la pierna izquierda lateralmente manteniendo la rodilla doblada a 90 grados.,ia,f,2026-01-05 21:24:24.501727
53,Fire_Hydrant_Right.mov,Hidratante de Fuego (Pierna Derecha),intermedio,"gluteos, cadera, core, piernas","fuerza, estabilidad, movilidad",cuadrupedia,t,esterilla,"rodillas, munecas, cadera, espalda","fuerza, movilidad, estabilidad, equilibrio",Ejercicio en cuadrupedia que fortalece glúteos y cadera elevando la pierna derecha lateralmente con rodilla flexionada.,ia,f,2026-01-05 21:24:40.166836
54,Flying_Kick.mov,Patada Voladora,avanzado,"piernas, core, gluteos, cadera","fuerza, equilibrio, cardio, estabilidad",de_pie,f,,"espalda, rodillas, cadera, cuello","fuerza, equilibrio, confianza","Ejercicio de patada dinámica con impulso que requiere coordinación, fuerza en piernas y equilibrio avanzado sobre una pierna.",ia,f,2026-01-05 21:24:53.886183
55,Forward_Lunges.mov,Zancadas hacia adelante,avanzado,"piernas, gluteos, core","fuerza, equilibrio, estabilidad",de_pie,f,,"rodillas, cadera, espalda","fuerza, equilibrio, movilidad, confianza",Ejercicio de dar un paso largo hacia adelante flexionando ambas rodillas para fortalecer piernas y glúteos.,ia,f,2026-01-05 21:25:07.743852
56,Frog_Squats.mov,Sentadillas de Rana,intermedio,"piernas, gluteos, core, cadera","fuerza, movilidad, estabilidad",de_pie,f,,"rodillas, cadera, espalda","fuerza, movilidad, equilibrio, flexibilidad","Sentadilla profunda con piernas separadas y pies hacia afuera, imitando la postura de una rana.",ia,f,2026-01-05 21:25:22.248488
57,Froggers.mov,Ranas o Saltos de Rana,avanzado,"piernas, core, gluteos, cadera","fuerza, cardio, equilibrio",de_pie,f,,"rodillas, cadera, espalda","fuerza, equilibrio, movilidad","Ejercicio dinámico que implica saltos en cuclillas imitando el movimiento de una rana, trabajando potencia en tren inferior.",ia,f,2026-01-05 21:25:36.186508
58,Gluteus_Bridge.mov,Puente de glúteos,iniciacion,"gluteos, core, piernas, espalda","fuerza, estabilidad",tumbado,f,esterilla,"espalda, cuello, cadera","fuerza, movilidad, postura, estabilidad",Ejercicio tumbado boca arriba que consiste en elevar la cadera del suelo formando un puente con el cuerpo.,ia,f,2026-01-05 21:25:50.343152
59,Gluteus_Stretch_Left.mov,Estiramiento de Glúteo Izquierdo,iniciacion,"gluteos, cadera, espalda","estiramiento, movilidad",sentado,t,silla,cadera,"movilidad, flexibilidad",Estiramiento suave del glúteo izquierdo realizado desde posición sentada para mejorar la movilidad de cadera.,ia,f,2026-01-05 21:26:04.259624
60,Gluteus_Stretch_Right.mov,Estiramiento de Glúteo Derecho,iniciacion,"gluteos, cadera, espalda","estiramiento, movilidad",sentado,t,silla,cadera,"flexibilidad, movilidad, postura","Estiramiento suave del glúteo derecho realizado desde posición sentada, ideal para mejorar la flexibilidad de cadera.",ia,f,2026-01-05 21:26:16.923064
61,Half_Burpees.mov,Medios Burpees,avanzado,"piernas, core, brazos, hombros, gluteos, pecho","cardio, fuerza, estabilidad",de_pie,f,,"espalda, rodillas, munecas, hombros, cadera","fuerza, cardio, confianza","Versión modificada del burpee sin salto final, combinando flexión de cadera, plancha y elevación del cuerpo.",ia,f,2026-01-05 21:26:31.731054
62,Heel_Touches.mov,Toques de talón,intermedio,"core, piernas, gluteos","fuerza, cardio, estabilidad",suelo,t,esterilla,"espalda, cuello, cadera","fuerza, movilidad, flexibilidad",Ejercicio abdominal en el suelo donde se alternan toques de las manos a los talones con ligera flexión lateral del tronco.,ia,f,2026-01-05 21:26:45.250397
63,Hello_Darlings.mov,Saludo inicial o bienvenida,iniciacion,"brazos, hombros",movilidad,sentado,t,silla,,"movilidad, confianza",Movimiento suave de saludo con los brazos para iniciar la sesión y preparar el cuerpo.,ia,f,2026-01-05 21:26:56.597469
64,High-Five_Abs.mov,Abdominales Choca Esos Cinco,intermedio,"core, brazos, hombros","fuerza, estabilidad, cardio",suelo,t,esterilla,"espalda, cuello, hombros, munecas","fuerza, estabilidad, confianza",Ejercicio abdominal dinámico donde se alternan toques de manos mientras se mantiene posición de plancha o crunch.,ia,f,2026-01-05 21:27:11.785842
65,High_Jumps.mov,Saltos Altos,avanzado,"piernas, gluteos, core, pantorrillas","cardio, fuerza, equilibrio",de_pie,f,,"rodillas, cadera, espalda, tobillos","fuerza, cardio, equilibrio, potencia","Ejercicio de alto impacto que consiste en saltar verticalmente lo más alto posible, activando toda la cadena muscular inferior.",ia,f,2026-01-05 21:27:25.890743
66,High_Knees.mov,Rodillas Altas,avanzado,"piernas, core, gluteos","cardio, fuerza, equilibrio",de_pie,f,,"rodillas, cadera, espalda","fuerza, equilibrio, confianza",Ejercicio cardiovascular de alto impacto que consiste en elevar las rodillas alternadamente hacia el pecho mientras se mantiene una postura erguida.,ia,f,2026-01-05 21:27:39.322638
67,High_Plank.mov,Plancha Alta,avanzado,"core, brazos, hombros, pecho, espalda","fuerza, estabilidad",cuadrupedia,t,esterilla,"espalda, hombros, munecas, cuello","fuerza, estabilidad, postura","Posición estática de plancha con brazos extendidos, manteniendo el cuerpo recto desde la cabeza hasta los pies.",ia,f,2026-01-05 21:27:52.40616
68,High_Plank_Jacks.mov,Saltos de Plancha Alta,avanzado,"core, brazos, hombros, piernas, pecho","fuerza, cardio, estabilidad",cuadrupedia,f,esterilla,"espalda, hombros, munecas, rodillas, cuello","fuerza, equilibrio","Ejercicio de alta intensidad que combina la posición de plancha con saltos laterales de piernas, similar a jumping jacks horizontales.",ia,f,2026-01-05 21:28:06.815081
69,High_Plank_Jumping_Jacks.mov,Saltos de tijera en plancha alta,avanzado,"core, hombros, brazos, piernas, pecho","fuerza, cardio, estabilidad",cuadrupedia,f,esterilla,"espalda, hombros, munecas, rodillas, cuello, cadera","fuerza, confianza","Ejercicio de alta intensidad que combina la plancha alta con saltos de piernas hacia afuera y adentro, similar a un jumping jack horizontal.",ia,f,2026-01-05 21:28:22.615188
70,High_Plank_Knee_Drops.mov,Plancha Alta con Descenso de Rodillas,avanzado,"core, brazos, hombros, pecho","fuerza, estabilidad",cuadrupedia,t,esterilla,"espalda, hombros, munecas, rodillas","fuerza, estabilidad, postura",Ejercicio de plancha alta donde se descienden alternadamente las rodillas al suelo manteniendo el tronco estable.,ia,f,2026-01-05 21:28:35.433145
71,High_Plank_Knee_to_Elbow.mov,Plancha Alta con Rodilla al Codo,avanzado,"core, brazos, hombros, piernas","fuerza, estabilidad, cardio",cuadrupedia,t,esterilla,"espalda, hombros, munecas, rodillas","fuerza, estabilidad, postura","Ejercicio de plancha alta alternando llevar cada rodilla hacia el codo opuesto, activando intensamente el core y trabajando coordinación.",ia,f,2026-01-05 21:28:50.113041
72,High_Plank_Leg_Lifts_Left.mov,Elevaciones de Pierna en Plancha Alta (Izquierda),avanzado,"core, gluteos, hombros, brazos, espalda, piernas","fuerza, estabilidad, equilibrio",cuadrupedia,f,esterilla,"espalda, hombros, munecas, cuello","fuerza, estabilidad, equilibrio, postura",Ejercicio avanzado en posición de plancha sobre manos elevando la pierna izquierda mientras se mantiene el core estable.,ia,f,2026-01-05 21:29:05.288775
73,High_Plank_Leg_Lifts_Right.mov,Elevaciones de Pierna en Plancha Alta Derecha,avanzado,"core, gluteos, hombros, brazos, espalda, piernas","fuerza, estabilidad, equilibrio",cuadrupedia,t,esterilla,"espalda, hombros, munecas, cuello","fuerza, estabilidad, equilibrio, postura","Ejercicio avanzado que combina plancha alta con elevación de pierna derecha, requiriendo gran fuerza del core y estabilidad corporal.",ia,f,2026-01-05 21:29:19.360927
74,High_Side_Plank_Left.mov,Plancha Lateral Alta (Lado Izquierdo),avanzado,"core, hombros, brazos, oblicuos","fuerza, estabilidad, equilibrio",suelo,t,esterilla,"hombros, munecas, espalda, cuello","fuerza, estabilidad, postura","Ejercicio avanzado de plancha lateral apoyado sobre la mano, manteniendo el cuerpo elevado en línea recta sobre el lado izquierdo.",ia,f,2026-01-05 21:29:34.797738
75,High_Side_Plank_Right.mov,Plancha Lateral Alta (Lado Derecho),avanzado,"core, hombros, brazos, gluteos","fuerza, estabilidad, equilibrio",suelo,t,esterilla,"hombros, munecas, espalda, cuello","fuerza, estabilidad, postura, equilibrio","Ejercicio isométrico avanzado de plancha lateral en posición alta, apoyado sobre la mano derecha, manteniendo el cuerpo en línea recta.",ia,f,2026-01-05 21:29:50.753499
