id,nombre_archivo,nombre_espanol,nivel,areas_cuerpo,tipo_ejercicio,posicion,requiere_equipo,equipo_necesario,evitar_si_limitacion,objetivos,descripcion_corta,clasificado_por,verificado_manualmente,created_at
76,Hindu_Push-ups.mov,Flexiones Hindúes,avanzado,"brazos, hombros, pecho, espalda, core","fuerza, movilidad, estabilidad",suelo,f,esterilla,"espalda, hombros, munecas, cuello, cadera","fuerza, movilidad, flexibilidad, postura","Flexión dinámica que combina movimiento de onda corporal, trabajando todo el tren superior con transición fluida.",ia,f,2026-01-05 21:30:05.735983
77,Hip_Abduction_Left.mov,Abducción de cadera izquierda,iniciacion,"piernas, gluteos, cadera","movilidad, fuerza, equilibrio",de_pie,f,"silla, pared",cadera,"movilidad, fuerza, equilibrio, estabilidad",Ejercicio de elevación lateral de la pierna izquierda para fortalecer abductores de cadera y mejorar el equilibrio.,ia,f,2026-01-05 21:30:20.68146
78,Hip_Abduction_Right.mov,Abducción de cadera derecha,iniciacion,"piernas, gluteos, cadera","movilidad, fuerza, estabilidad",de_pie,f,"silla, pared",cadera,"movilidad, fuerza, equilibrio, confianza","Movimiento lateral de la pierna derecha hacia afuera, fortaleciendo abductores de cadera y glúteo medio.",ia,f,2026-01-05 21:30:34.636438
79,Hip_Adduction_Left.mov,Aducción de cadera izquierda,iniciacion,"piernas, cadera, gluteos","fuerza, movilidad, estabilidad",de_pie,f,"silla, pared",cadera,"fuerza, movilidad, equilibrio, estabilidad","Movimiento de la pierna izquierda hacia la línea media del cuerpo, fortaleciendo los músculos aductores de la cadera.",ia,f,2026-01-05 21:30:48.535651
80,Hip_Adduction_Right.mov,Aducción de Cadera Derecha,iniciacion,"piernas, cadera, gluteos","fuerza, movilidad",de_pie,f,"pared, silla",cadera,"fuerza, movilidad, equilibrio, estabilidad",Movimiento de la pierna derecha hacia la línea media del cuerpo para fortalecer los músculos aductores internos del muslo.,ia,f,2026-01-05 21:31:01.843371
81,In_and_Out_Jump_Squats.mov,Sentadillas con Salto Abriendo y Cerrando Piernas,avanzado,"piernas, gluteos, core","cardio, fuerza, equilibrio",de_pie,f,,"rodillas, cadera, espalda","fuerza, equilibrio",Ejercicio pliométrico que combina sentadillas con saltos alternando posición de piernas abiertas y cerradas.,ia,f,2026-01-05 21:31:13.900556
82,Inchworm_Low_Plank.mov,Gusano con Plancha Baja,avanzado,"core, brazos, hombros, espalda, piernas","fuerza, movilidad, estabilidad",de_pie,t,esterilla,"espalda, hombros, munecas, cuello","fuerza, movilidad, flexibilidad, postura",Ejercicio dinámico que combina flexión hacia adelante caminando con las manos hasta posición de plancha baja sobre antebrazos.,ia,f,2026-01-05 21:31:30.94148
83,Inchworms.mov,Gusano medidor,avanzado,"core, hombros, brazos, espalda, piernas","fuerza, movilidad, estabilidad",de_pie,f,,"espalda, hombros, munecas, rodillas","fuerza, movilidad, flexibilidad, postura","Ejercicio dinámico que combina flexión hacia adelante caminando con las manos hacia plancha y retorno, trabajando todo el cuerpo.",ia,f,2026-01-05 21:31:45.415391
84,Inclined_Wall_Push-ups.mov,Flexiones en pared inclinada,iniciacion,"brazos, hombros, pecho",fuerza,de_pie,t,pared,"hombros, munecas","fuerza, postura, confianza","Flexiones realizadas contra una pared en posición inclinada, ideal para fortalecer brazos, hombros y pecho sin necesidad de tirarse al suelo.",ia,f,2026-01-05 21:32:00.704146
85,JackKnife.mov,Navaja o Jackknife,avanzado,"core, piernas, espalda","fuerza, estabilidad",tumbado,t,esterilla,"espalda, cuello, cadera","fuerza, estabilidad, flexibilidad","Ejercicio abdominal avanzado donde se elevan simultáneamente piernas y tronco desde posición tumbada, formando una 'V' con el cuerpo.",ia,f,2026-01-05 21:32:15.332356
86,Jacks.mov,Saltos de tijera o jumping jacks,avanzado,"piernas, brazos, hombros, core, gluteos","cardio, fuerza, equilibrio",de_pie,f,,"rodillas, cadera, hombros, espalda","fuerza, equilibrio, confianza",Ejercicio cardiovascular de impacto que combina saltos con apertura simultánea de piernas y brazos.,ia,f,2026-01-05 21:32:28.27065
87,Jog_In_Place.mov,Trote en el sitio,intermedio,"piernas, core, gluteos","cardio, equilibrio",de_pie,f,,"rodillas, cadera, espalda","cardio, equilibrio, fuerza, confianza","Ejercicio cardiovascular que consiste en simular el movimiento de trote sin desplazarse, elevando las rodillas alternadamente.",ia,f,2026-01-05 21:32:42.931476
88,Jump_Lunges.mov,Zancadas con Salto,avanzado,"piernas, gluteos, core","cardio, fuerza, equilibrio",de_pie,f,,"rodillas, cadera, espalda","fuerza, equilibrio, confianza","Ejercicio pliométrico que combina zancadas alternadas con saltos explosivos, requiriendo alta intensidad y coordinación.",ia,f,2026-01-05 21:32:55.703998
89,Jump_Squats.mov,Sentadillas con Salto,avanzado,"piernas, gluteos, core","fuerza, cardio, equilibrio",de_pie,f,,"rodillas, cadera, espalda","fuerza, equilibrio, confianza",Ejercicio de alta intensidad que combina sentadilla profunda con salto explosivo vertical.,ia,f,2026-01-05 21:33:09.744675
90,Jumping_Jacks.mov,Saltos de tijera,avanzado,"piernas, brazos, hombros, core, gluteos","cardio, fuerza, equilibrio",de_pie,f,,"rodillas, cadera, hombros, espalda","fuerza, equilibrio, confianza",Ejercicio cardiovascular de alto impacto que implica saltos con apertura y cierre simultáneo de piernas y brazos.,ia,f,2026-01-05 21:33:23.89261
91,Knee_High_Side_Plank_Left.mov,Plancha Lateral con Rodillas Apoyadas (Lado Izquierdo),intermedio,"core, hombros, brazos, oblicuos","fuerza, estabilidad",suelo,t,esterilla,"hombros, munecas, espalda","fuerza, estabilidad, postura","Plancha lateral modificada apoyando las rodillas en lugar de los pies, trabajando el lado izquierdo del cuerpo para fortalecer el core y los oblicuos.",ia,f,2026-01-05 21:33:38.696023
92,Knee_High_Side_Plank_Right.mov,Plancha Lateral con Rodillas Apoyadas (Lado Derecho),avanzado,"core, hombros, brazos, oblicuos","fuerza, estabilidad, equilibrio",suelo,t,esterilla,"hombros, munecas, espalda, cuello","fuerza, estabilidad, postura, equilibrio","Plancha lateral modificada apoyando las rodillas, activando el core y los oblicuos del lado derecho.",ia,f,2026-01-05 21:33:53.164697
93,Knee_Lay_Down_Push-ups.mov,Flexiones de rodillas tumbado,intermedio,"pecho, brazos, hombros, core","fuerza, estabilidad",tumbado,f,esterilla,"hombros, munecas, espalda, rodillas","fuerza, estabilidad, confianza",Flexiones modificadas apoyando las rodillas en el suelo para reducir la intensidad y proteger la espalda baja.,ia,f,2026-01-05 21:34:08.333357
94,Knee_Low_Side_Plank_Left.mov,Plancha lateral baja con rodillas apoyadas (izquierda),intermedio,"core, hombros, brazos, gluteos","fuerza, estabilidad, equilibrio",suelo,t,esterilla,"hombros, munecas, rodillas, cadera","fuerza, estabilidad, postura, equilibrio","Plancha lateral modificada apoyando rodillas y antebrazo izquierdo, activando el core y la estabilidad lateral del cuerpo.",ia,f,2026-01-05 21:34:23.511505
95,Knee_Low_Side_Plank_Lifts_Left.mov,Elevaciones de Plancha Lateral Baja con Rodilla (Izquierda),avanzado,"core, brazos, hombros, gluteos, espalda","fuerza, estabilidad, equilibrio",suelo,t,esterilla,"hombros, munecas, espalda, cadera","fuerza, estabilidad, equilibrio, postura","Plancha lateral modificada apoyando la rodilla, elevando y bajando las caderas del suelo mientras se mantiene el peso sobre el antebrazo izquierdo.",ia,f,2026-01-05 21:34:39.514532
96,Knee_Low_Side_Plank_Lifts_Right.mov,Elevaciones de Plancha Lateral Baja sobre Rodillas (Derecha),intermedio,"core, brazos, hombros, gluteos, cadera","fuerza, estabilidad, equilibrio",suelo,t,esterilla,"hombros, munecas, rodillas, cadera","fuerza, estabilidad, equilibrio, postura","Plancha lateral modificada apoyando rodillas, elevando y bajando la cadera del lado derecho para fortalecer el core lateral.",ia,f,2026-01-05 21:34:53.525753
97,Knee_Low_Side_Plank_Right.mov,Plancha lateral baja con rodillas (lado derecho),intermedio,"core, hombros, brazos, oblicuos","fuerza, estabilidad",suelo,t,esterilla,"hombros, munecas, cadera, rodillas","fuerza, estabilidad, postura","Plancha lateral modificada apoyando rodillas en el suelo, trabajando el lado derecho del cuerpo para fortalecer el core lateral.",ia,f,2026-01-05 21:35:09.015565
98,Knee_Narrow_to_Wide_Push-ups.mov,Flexiones de rodillas de estrechas a amplias,intermedio,"pecho, brazos, hombros, core","fuerza, estabilidad",cuadrupedia,t,esterilla,"munecas, hombros, rodillas","fuerza, estabilidad, postura",Flexiones apoyando rodillas alternando posición de manos entre estrecha y amplia para trabajar diferentes ángulos del pecho y brazos,ia,f,2026-01-05 21:35:23.902016
99,Knee_Plyo_Push-ups.mov,Flexiones Pliométricas de Rodillas,avanzado,"brazos, pecho, hombros, core","fuerza, cardio",suelo,t,esterilla,"hombros, munecas, espalda, cuello, rodillas","fuerza, confianza",Flexiones explosivas con las rodillas apoyadas donde las manos despegan del suelo en la fase ascendente.,ia,f,2026-01-05 21:35:36.541826
100,Knee_Push-ups.mov,Flexiones de rodillas,intermedio,"brazos, pecho, hombros, core","fuerza, estabilidad",cuadrupedia,t,esterilla,"munecas, hombros, rodillas","fuerza, postura, confianza","Flexiones modificadas apoyando las rodillas en el suelo, ideales para fortalecer brazos y pecho con menor intensidad.",ia,f,2026-01-05 21:35:50.887689
101,Knee_Side_to_Side_Push-ups.mov,Flexiones de Rodillas con Desplazamiento Lateral,intermedio,"brazos, pecho, hombros, core","fuerza, estabilidad",cuadrupedia,f,esterilla,"munecas, hombros, rodillas","fuerza, estabilidad, confianza",Flexiones modificadas apoyando las rodillas con desplazamiento lateral del cuerpo para trabajar diferentes ángulos del pecho y brazos.,ia,f,2026-01-05 21:36:06.485139
102,Knee_Tuck_Crunches.mov,Encogimientos con elevación de rodillas,avanzado,"core, piernas","fuerza, estabilidad",tumbado,t,esterilla,"espalda, cuello, cadera","fuerza, estabilidad",Ejercicio abdominal que combina encogimientos tradicionales con elevación simultánea de rodillas hacia el pecho mientras se está tumbado boca arriba.,ia,f,2026-01-05 21:36:19.697292
103,Knee_Up_Downs.mov,Subidas y Bajadas de Rodilla,iniciacion,"piernas, core, cadera","movilidad, fuerza, equilibrio",de_pie,t,silla,"rodillas, cadera","movilidad, fuerza, equilibrio, confianza","Ejercicio de elevación alternada de rodillas hacia el pecho, mejorando la movilidad de cadera y fortaleciendo el core.",ia,f,2026-01-05 21:36:33.826073
104,Knee_and_Stand_Left.mov,Rodilla y Levantarse (Izquierda),intermedio,"piernas, gluteos, core","fuerza, equilibrio, movilidad",suelo,f,,"rodillas, cadera","fuerza, equilibrio, movilidad, confianza","Ejercicio de transición desde posición de rodillas a posición de pie, apoyándose principalmente en la pierna izquierda.",ia,f,2026-01-05 21:36:47.259824
105,Knee_and_Stand_Right.mov,Rodilla al pecho y ponerse de pie (pierna derecha),intermedio,"piernas, core, gluteos, cadera","fuerza, equilibrio, movilidad, estabilidad",de_pie,f,,"rodillas, cadera, espalda","fuerza, equilibrio, movilidad, confianza","Ejercicio que combina elevar la rodilla derecha hacia el pecho y realizar una transición controlada para ponerse de pie, trabajando fuerza y equilibrio.",ia,f,2026-01-05 21:37:01.745484
106,Kneeling_Hip_Flexor_Stretch_Left.mov,Estiramiento de Flexor de Cadera en Rodilla (Izquierda),intermedio,"cadera, piernas, core","estiramiento, movilidad, flexibilidad",suelo,t,esterilla,"rodillas, cadera","flexibilidad, movilidad, postura","Estiramiento en posición de rodilla para elongar los músculos flexores de la cadera izquierda, mejorando la movilidad y reduciendo la tensión lumbar.",ia,f,2026-01-05 21:37:16.120049
107,Kneeling_Hip_Flexor_Stretch_Right.mov,Estiramiento de Flexor de Cadera Derecho en Rodilla,intermedio,"piernas, cadera, core","estiramiento, movilidad, flexibilidad",suelo,t,"esterilla, cojin","rodillas, cadera","movilidad, flexibilidad, postura","Estiramiento profundo del flexor de cadera derecho desde posición de rodilla adelantada, mejorando movilidad y postura.",ia,f,2026-01-05 21:37:31.319366
108,Lateral_Burpees.mov,Burpees Laterales,avanzado,"piernas, core, brazos, hombros, gluteos, pecho","cardio, fuerza, equilibrio, estabilidad",de_pie,f,,"espalda, rodillas, hombros, munecas, cuello, cadera","fuerza, equilibrio, confianza","Ejercicio de alta intensidad que combina sentadilla, plancha y salto lateral, trabajando todo el cuerpo con movimiento cardiovascular intenso.",ia,f,2026-01-05 21:37:44.999225
109,Lateral_Jump_Touchdown.mov,Salto Lateral con Toque al Suelo,avanzado,"piernas, gluteos, core, equilibrio","cardio, fuerza, equilibrio, estabilidad",de_pie,f,,"rodillas, cadera, espalda, equilibrio","fuerza, equilibrio, cardio, confianza",Salto lateral de una pierna a otra con descenso controlado para tocar el suelo con la mano.,ia,f,2026-01-05 21:37:59.842102
110,Lateral_Jumps.mov,Saltos Laterales,avanzado,"piernas, gluteos, core","cardio, fuerza, equilibrio",de_pie,f,,"rodillas, cadera, espalda","fuerza, equilibrio, confianza",Saltos explosivos de lado a lado que mejoran la potencia y agilidad de las piernas.,ia,f,2026-01-05 21:38:13.261873
111,Lay-Down_Push-ups_and_Tuck_Jumps.mov,Flexiones Acostadas y Saltos con Rodillas al Pecho,avanzado,"pecho, brazos, hombros, core, piernas, gluteos","fuerza, cardio, estabilidad",suelo,t,esterilla,"espalda, rodillas, hombros, munecas, cuello, cadera","fuerza, confianza",Ejercicio de alta intensidad que combina flexiones desde posición tumbada con saltos explosivos llevando las rodillas al pecho.,ia,f,2026-01-05 21:38:26.169237
112,Lay-Down_Snap_Jumps.mov,Saltos Snap Tumbado,avanzado,"piernas, core, gluteos, espalda","cardio, fuerza, estabilidad",tumbado,f,esterilla,"espalda, rodillas, cadera, cuello","fuerza, confianza","Ejercicio explosivo que combina posición tumbada con saltos verticales, requiriendo levantarse rápidamente del suelo.",ia,f,2026-01-05 21:38:38.66091
113,Lay_Down_Push-ups.mov,Flexiones tumbado,avanzado,"brazos, hombros, pecho, core","fuerza, estabilidad",tumbado,t,esterilla,"hombros, munecas, espalda, cuello","fuerza, estabilidad, postura","Flexiones de brazos realizadas desde posición boca abajo en el suelo, ejercicio de fuerza para tren superior.",ia,f,2026-01-05 21:38:52.508714
114,Leg_Raise_Crunch.mov,Elevación de Piernas con Crunch Abdominal,avanzado,"core, piernas","fuerza, estabilidad",tumbado,t,esterilla,"espalda, cuello, cadera","fuerza, estabilidad, postura",Ejercicio avanzado que combina elevación de piernas con contracción abdominal simultánea estando tumbado boca arriba.,ia,f,2026-01-05 21:39:05.899113
115,Leg_Raises.mov,Elevaciones de pierna,intermedio,"piernas, core, gluteos","fuerza, estabilidad, equilibrio",tumbado,t,esterilla,"espalda, cadera","fuerza, estabilidad, postura",Ejercicio tumbado boca arriba que consiste en elevar las piernas manteniendo la espalda apoyada en el suelo.,ia,f,2026-01-05 21:39:19.775352
116,Low_Plank.mov,Plancha Baja,avanzado,"core, brazos, hombros, espalda, gluteos","fuerza, estabilidad",suelo,t,esterilla,"espalda, hombros, munecas, cuello","fuerza, estabilidad, postura","Ejercicio isométrico en posición horizontal apoyado sobre antebrazos y pies, manteniendo el cuerpo recto y elevado del suelo.",ia,f,2026-01-05 21:39:35.233051
117,Low_Plank_Arm_Reaches.mov,Plancha Baja con Alcances de Brazo,avanzado,"core, brazos, hombros, espalda","fuerza, estabilidad, equilibrio",suelo,t,esterilla,"espalda, hombros, munecas, cuello","fuerza, estabilidad, postura",Ejercicio de plancha sobre antebrazos alternando extensiones de brazos al frente para trabajar core y estabilidad.,ia,f,2026-01-05 21:39:50.332041
118,Low_Plank_Crunches.mov,Abdominales en Plancha Baja,avanzado,"core, brazos, hombros, espalda","fuerza, estabilidad",suelo,t,esterilla,"espalda, hombros, munecas, cuello","fuerza, estabilidad, postura",Ejercicio avanzado que combina la posición de plancha sobre antebrazos con movimientos de contracción abdominal.,ia,f,2026-01-05 21:40:02.753742
119,Low_Plank_Knee_Crosses.mov,Plancha Baja con Cruces de Rodilla,avanzado,"core, hombros, brazos, cadera","fuerza, estabilidad, movilidad",cuadrupedia,t,esterilla,"espalda, hombros, munecas, cuello, rodillas","fuerza, estabilidad, movilidad",Ejercicio avanzado de core en posición de plancha baja llevando las rodillas en cruce hacia el codo opuesto.,ia,f,2026-01-05 21:40:17.25243
120,Low_Plank_Knee_Drops.mov,Plancha Baja con Descenso de Rodillas,avanzado,"core, brazos, hombros, espalda","fuerza, estabilidad",cuadrupedia,t,esterilla,"espalda, hombros, munecas, cuello, rodillas","fuerza, estabilidad, postura",Ejercicio de plancha sobre antebrazos con movimiento controlado de rodillas hacia el suelo para fortalecer el core.,ia,f,2026-01-05 21:40:30.07308
121,Low_Plank_Knee_to_Elbow.mov,Plancha Baja con Rodilla al Codo,avanzado,"core, brazos, hombros, espalda","fuerza, estabilidad, cardio",cuadrupedia,t,esterilla,"espalda, hombros, munecas, cuello, rodillas","fuerza, estabilidad, confianza","Ejercicio de plancha en antebrazos llevando alternadamente la rodilla hacia el codo del mismo lado, fortaleciendo el core y la parte superior del cuerpo.",ia,f,2026-01-05 21:40:43.756344
122,Low_Plank_Twists.mov,Giros en Plancha Baja,avanzado,"core, brazos, hombros, espalda","fuerza, estabilidad, movilidad",suelo,t,esterilla,"espalda, hombros, munecas, cuello","fuerza, estabilidad, movilidad",Ejercicio avanzado de core que combina la plancha sobre antebrazos con rotaciones del torso de lado a lado.,ia,f,2026-01-05 21:40:58.416982
123,Low_Side_Plank_Left.mov,Plancha Lateral Baja Izquierda,intermedio,"core, brazos, hombros, gluteos","fuerza, estabilidad, equilibrio",suelo,t,esterilla,"hombros, munecas, espalda, cuello","fuerza, estabilidad, postura, equilibrio","Plancha lateral modificada apoyando el antebrazo y rodilla, trabajando el lado izquierdo del cuerpo para fortalecer el core lateral.",ia,f,2026-01-05 21:41:14.086036
124,Low_Side_Plank_Leg_Lifts_Left.mov,Elevaciones de Pierna en Plancha Lateral Baja (Izquierda),avanzado,"core, gluteos, piernas, hombros, brazos","fuerza, estabilidad, equilibrio",suelo,t,esterilla,"hombros, munecas, espalda, cuello, cadera","fuerza, estabilidad, equilibrio, postura","Plancha lateral apoyando antebrazo y rodilla, elevando la pierna superior de forma controlada.",ia,f,2026-01-05 21:41:28.823473
125,Low_Side_Plank_Leg_Lifts_Right.mov,Elevaciones de Pierna en Plancha Lateral Baja (Derecha),avanzado,"core, gluteos, piernas, hombros, brazos","fuerza, estabilidad, equilibrio",suelo,t,esterilla,"hombros, munecas, espalda, cadera","fuerza, estabilidad, equilibrio, postura","Plancha lateral baja apoyada sobre antebrazo y rodilla, elevando la pierna superior extendida hacia arriba de forma controlada.",ia,f,2026-01-05 21:41:44.002376
126,Low_Side_Plank_Right.mov,Plancha Lateral Baja (Lado Derecho),intermedio,"core, hombros, brazos, gluteos","fuerza, estabilidad, equilibrio",suelo,t,esterilla,"hombros, munecas, espalda, cadera","fuerza, estabilidad, postura, equilibrio","Ejercicio de fortalecimiento del core en posición lateral sobre el antebrazo derecho, manteniendo el cuerpo alineado con apoyo de rodillas.",ia,f,2026-01-05 21:41:59.86687
127,Low_Squat_Jacks.mov,Sentadillas con Saltos Bajos,avanzado,"piernas, gluteos, core","cardio, fuerza, equilibrio",de_pie,f,,"rodillas, cadera, espalda","fuerza, equilibrio, confianza",Ejercicio cardiovascular que combina sentadillas bajas con saltos laterales alternos de bajo impacto.,ia,f,2026-01-05 21:42:14.992261
128,Lunge_High_Knee_Jumps_Left.mov,Saltos con Zancada y Rodilla Alta Izquierda,avanzado,"piernas, gluteos, core","cardio, fuerza, equilibrio",de_pie,f,,"rodillas, cadera, espalda","fuerza, equilibrio, cardio",Ejercicio de alto impacto que combina zancadas con saltos explosivos y elevación de rodilla en la pierna izquierda.,ia,f,2026-01-05 21:42:28.559531
129,Lunge_High_Knee_Jumps_Right.mov,Saltos de Zancada con Rodilla Alta Derecha,avanzado,"piernas, gluteos, core","cardio, fuerza, equilibrio",de_pie,f,,"rodillas, cadera, espalda","fuerza, equilibrio, confianza","Ejercicio pliométrico que combina una zancada explosiva con elevación de rodilla alta del lado derecho, requiriendo potencia y coordinación avanzada.",ia,f,2026-01-05 21:42:41.320521
130,Lunge_and_Twist_Left.mov,Estocada con Rotación de Tronco Izquierda,avanzado,"piernas, core, gluteos, espalda","fuerza, equilibrio, movilidad, estabilidad",de_pie,f,,"rodillas, cadera, espalda","fuerza, equilibrio, movilidad, confianza, postura",Ejercicio de estocada con rotación del torso hacia la izquierda que combina fuerza de piernas y movilidad del tronco.,ia,f,2026-01-05 21:42:56.746445
131,Lunge_and_Twist_Right.mov,Zancada con Giro hacia la Derecha,avanzado,"piernas, core, gluteos, espalda","fuerza, equilibrio, movilidad, estabilidad",de_pie,f,,"rodillas, cadera, espalda","fuerza, equilibrio, movilidad, confianza, postura","Ejercicio que combina una zancada o estocada con rotación del torso hacia la derecha, trabajando piernas, glúteos y core simultáneamente.",ia,f,2026-01-05 21:43:13.810117
132,Lunge_to_Front_Kick_Left.mov,Estocada con Patada Frontal (Pierna Izquierda),avanzado,"piernas, gluteos, core, cadera","fuerza, equilibrio, cardio, estabilidad",de_pie,f,,"rodillas, cadera, espalda","fuerza, equilibrio, confianza, movilidad","Ejercicio dinámico que combina una estocada con una patada frontal con la pierna izquierda, mejorando fuerza y equilibrio.",ia,f,2026-01-05 21:43:28.567464
133,Lunge_to_Front_Kick_Right.mov,Zancada con Patada Frontal Derecha,avanzado,"piernas, gluteos, core","fuerza, equilibrio, cardio, estabilidad",de_pie,f,,"rodillas, cadera, espalda","fuerza, equilibrio, movilidad, confianza","Ejercicio dinámico que combina una zancada hacia atrás con una patada frontal explosiva con la pierna derecha, trabajando fuerza y equilibrio.",ia,f,2026-01-05 21:43:43.287344
134,Lunge_to_High_Knee_Left.mov,Zancada a Rodilla Alta (Izquierda),avanzado,"piernas, gluteos, core","fuerza, equilibrio, cardio, estabilidad",de_pie,f,,"rodillas, cadera, espalda","fuerza, equilibrio, confianza, movilidad","Ejercicio dinámico que combina una zancada hacia atrás con elevación de rodilla izquierda, trabajando fuerza y equilibrio unilateral.",ia,f,2026-01-05 21:43:56.96476
135,Lunge_to_High_Knee_Right.mov,Zancada a Rodilla Alta Derecha,avanzado,"piernas, gluteos, core","fuerza, equilibrio, cardio, estabilidad",de_pie,f,,"rodillas, cadera, espalda","fuerza, equilibrio, movilidad, confianza","Ejercicio dinámico que combina una zancada con elevación explosiva de rodilla derecha, trabajando fuerza y equilibrio unilateral.",ia,f,2026-01-05 21:44:11.454698
